,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,Movie or Show
976,Air Buddies,PG,"some mild, rude humor",60,2006,,82,Movie
977,Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,,82,Movie
978,Flicka 2,PG,some reckless behavior,60,2010,,82,Movie
981,Dolphin Tale,PG,some mild thematic elements,60,2011,,82,Movie
983,Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,,82,Movie
988,Paddington,PG,mild action and rude humor,60,2014,70.0,80,Movie
989,Russell Madness,PG,some rude humor and sports action,60,2015,,82,Movie
993,Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,,82,Movie
994,Pup Star,G,General Audiences. Suitable for all ages.,35,2016,,82,Movie
995,The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80,Movie
996,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81,Movie
999,Growing Up Wild,G,,35,2016,80.0,80,Movie
